"name","Date","TMP_L103_mean","SPF_H_L103_mean","A_PCP_L1_Accum_1_mean"
"Algeria",2020-03-01,14.8775072097778,0.00592291716020554,0.0255580145749263
"Algeria",2020-03-02,14.7252125740051,0.00658250832930207,5.49648164585233
"Algeria",2020-03-03,12.2471692562103,0.00565701525192708,0.288079633552115
"Algeria",2020-03-04,13.794682264328,0.00673298421315849,0.726473197108135
"Algeria",2020-03-05,14.9138646125793,0.0061788713792339,0.0256250910460949
"Algeria",2020-03-06,13.2713797092438,0.0061833574436605,1.95311218500137
"Algeria",2020-03-07,9.6142201423645,0.00483321538195014,2.68834473192692
"Algeria",2020-03-08,9.67244386672974,0.00437198427971452,0.522049557417631
"Algeria",2020-03-09,11.795337677002,0.00504161545541137,1.42904912435915
"Algeria",2020-03-10,11.1329565048218,0.00550277985166758,1.03469051234424
"Algeria",2020-03-11,13.3880724906921,0.00562142231501639,0.0208255227189511
"Algeria",2020-03-12,16.5934677124023,0.00591190613340586,2.24256510250598e-07
"Algeria",2020-03-13,16.8468964099884,0.00614639336708933,1.42149940133095
"Algeria",2020-03-14,15.2562022209167,0.00738927675411105,1.02221523970366
"Algeria",2020-03-15,15.0045232772827,0.00739103998057544,5.21986658126116
"Algeria",2020-03-16,15.6693165302277,0.00718670582864434,2.34728126972914
"Algeria",2020-03-17,14.1490762233734,0.00742457224987447,1.7396255582571
"Algeria",2020-03-18,14.5741171836853,0.00791317888069898,0.845617420971394
"Algeria",2020-03-19,14.4130475521088,0.00780626584310085,0.493794805370271
"Algeria",2020-03-20,14.3444712162018,0.00739070016425103,1.91890331730247
"Algeria",2020-03-21,13.120697259903,0.00763536721933633,5.49631798267365
"Algeria",2020-03-22,12.5812559127808,0.00644213927444071,1.76036308705807
"Algeria",2020-03-23,13.5929682254791,0.00667313660960644,2.50874733924866
"Algeria",2020-03-24,13.4305236339569,0.00743354298174381,12.1763968467712
"Algeria",2020-03-25,9.7812831401825,0.00592775200493634,4.507389575243
"Algeria",2020-03-26,9.27572751045227,0.00513708160724491,3.1984471231699
"Algeria",2020-03-27,11.1787102222443,0.00584975560195744,1.09653224050999
"Algeria",2020-03-28,11.1871743202209,0.0061771678738296,2.70050871372223
"Algeria",2020-03-29,10.5601325035095,0.00589197094086558,1.70652949810028
"Algeria",2020-03-30,12.4309029579163,0.00569956377148628,0.231633065268397
"Algeria",2020-03-31,15.3568820953369,0.00631746463477612,1.67265686392784
"Algeria",2020-04-01,15.4645757675171,0.00665891508106142,2.38474314659834
"Algeria",2020-04-02,13.5852708816528,0.00660048937425017,3.69738307595253
"Algeria",2020-04-03,11.6246147155762,0.00644305581226945,7.07586723566055
"Algeria",2020-04-04,12.4347701072693,0.00613389897625893,0.18066499568522
"Algeria",2020-04-05,14.420154094696,0.00629170227330178,0.00558957751491107
"Algeria",2020-04-06,15.0424067974091,0.00682272168342024,0.0152248321974184
"Algeria",2020-04-07,15.3818426132202,0.00693118688650429,0.174736281391233
"Algeria",2020-04-08,15.4433698654175,0.00698535633273423,0.187815280456562
"Algeria",2020-04-09,15.7096011638641,0.00768244836945087,2.39102175086737
"Algeria",2020-04-10,14.5805678367615,0.00824466976337135,4.51305556297302
"Algeria",2020-04-11,14.794214963913,0.00810823892243207,0.82129929214716
"Algeria",2020-04-12,16.3114125728607,0.00837589683942497,4.03707757592201
"Algeria",2020-04-13,17.2637140750885,0.00773917301557958,1.25590940564871
"Algeria",2020-04-14,16.7005894184113,0.00838140770792961,0.190328819211572
"Algeria",2020-04-15,17.9218642711639,0.00834722281433642,0.106434592744336
"Algeria",2020-04-16,19.0403587818146,0.00879491004161537,0.212140832227306
"Algeria",2020-04-17,20.516462802887,0.00911584496498108,6.01513129472733
"Algeria",2020-04-18,20.6199231147766,0.00940187345258892,2.85339523851871
"Algeria",2020-04-19,18.2169303894043,0.0091267810203135,11.2983006238937
"Algeria",2020-04-20,15.3214981555939,0.00847890565637499,8.57331199944019
"Algeria",2020-04-21,14.6228854656219,0.00694187928456813,2.88989771902561
"Algeria",2020-04-22,13.6049807071686,0.00724290427751839,6.69306409358978
"Algeria",2020-04-23,14.7464935779572,0.00771829253062606,0.537274037487805
"Algeria",2020-04-24,17.0537376403809,0.00797352939844131,0.521448409774166
"Algeria",2020-04-25,17.2708129882812,0.00821392145007849,4.09001597762108
"Algeria",2020-04-26,15.9926626682281,0.00835778960026801,2.75709291361272
"Algeria",2020-04-27,17.305385351181,0.00785162369720638,2.16253412514925
"Algeria",2020-04-28,18.0179576873779,0.00783352891448885,2.07964250445366
"Algeria",2020-04-29,17.4433968067169,0.00781676801852882,0.518205948174
"Algeria",2020-04-30,17.6700446605682,0.00698396796360612,0.000226465541345533
"Algeria",2020-05-01,18.8834211826324,0.00728567142505199,0.00893881428055465
"Algeria",2020-05-02,20.5074129104614,0.00766852358356118,0.000999314579530619
"Algeria",2020-05-03,22.3338809013367,0.00749630806967616,2.34597191592911e-05
"Algeria",2020-05-04,24.5284481048584,0.00743399024941027,4.26504911388292e-08
"Algeria",2020-05-05,24.5497517585754,0.00795061246026307,5.29673059190827e-07
"Algeria",2020-05-06,23.8173718452454,0.00816280243452638,4.60533938166918e-05
"Algeria",2020-05-07,22.5760912895203,0.00872175395488739,0.00450402036420883
"Algeria",2020-05-08,22.6609315872192,0.00926346424967051,0.537569314619759
"Algeria",2020-05-09,21.9186658859253,0.0096715243998915,1.09894677996635
"Algeria",2020-05-10,19.8379549980164,0.00889355409890413,3.00772884860635
"Algeria",2020-05-11,18.9448947906494,0.00729801948182285,0.000164604454766959
